,question,presupposition,trigger_name,document
0,where did the expression with a grain of salt come from,expression with a grain of salt exists,definite_article,https://en.wikipedia.org//w/index.php?title=Grain_of_salt&amp;oldid=834308797
1,where did the expression with a grain of salt come from,expression with a grain of salt is contextually unique,definite_article,https://en.wikipedia.org//w/index.php?title=Grain_of_salt&amp;oldid=834308797
2,where did the expression with a grain of salt come from,there is some place that the expression with a grain of salt come from,where_question,https://en.wikipedia.org//w/index.php?title=Grain_of_salt&amp;oldid=834308797
3,who are the characters in the black cat,characters in the black cat exists,definite_article,https://en.wikipedia.org//w/index.php?title=List_of_Black_Cat_characters&amp;oldid=828680951
4,who are the characters in the black cat,characters in the black cat is contextually unique,definite_article,https://en.wikipedia.org//w/index.php?title=List_of_Black_Cat_characters&amp;oldid=828680951
5,who are the characters in the black cat,black cat exists,definite_article,https://en.wikipedia.org//w/index.php?title=List_of_Black_Cat_characters&amp;oldid=828680951
6,who are the characters in the black cat,black cat is contextually unique,definite_article,https://en.wikipedia.org//w/index.php?title=List_of_Black_Cat_characters&amp;oldid=828680951
7,who are the characters in the black cat,there is someone that are the characters in the black cat,who_question,https://en.wikipedia.org//w/index.php?title=List_of_Black_Cat_characters&amp;oldid=828680951
8,why must one value in every table be unique,one value in every table be unique,why_question,https://en.wikipedia.org//w/index.php?title=Unique_key&amp;oldid=818710683
9,why must one value in every table be unique,there is some reason that one value in every table be unique,why_question,https://en.wikipedia.org//w/index.php?title=Unique_key&amp;oldid=818710683
10,what does the greek word onta mean in english,greek word exists,definite_article,https://en.wikipedia.org//w/index.php?title=Potentiality_and_actuality&amp;oldid=819114103
11,what does the greek word onta mean in english,greek word is contextually unique,definite_article,https://en.wikipedia.org//w/index.php?title=Potentiality_and_actuality&amp;oldid=819114103
12,what does the greek word onta mean in english,there is something that does the greek word onta mean in english,what_question,https://en.wikipedia.org//w/index.php?title=Potentiality_and_actuality&amp;oldid=819114103
13,when do other cultures celebrate the new year,new year exists,definite_article,https://en.wikipedia.org//w/index.php?title=New_Year&amp;oldid=820237322
14,when do other cultures celebrate the new year,new year is contextually unique,definite_article,https://en.wikipedia.org//w/index.php?title=New_Year&amp;oldid=820237322
15,when do other cultures celebrate the new year,there is some point in time that other cultures celebrate the new year,when_question,https://en.wikipedia.org//w/index.php?title=New_Year&amp;oldid=820237322
16,what happens in a mixture (write two sentences that state what happens in a mixture.),what happens in a mixture,factive_clause_embedding_predicate,https://en.wikipedia.org//w/index.php?title=Mixture&amp;oldid=822306184
17,what happens in a mixture (write two sentences that state what happens in a mixture.),there is something that happens in a mixture write two sentences that state what happens in a mixture,what_question,https://en.wikipedia.org//w/index.php?title=Mixture&amp;oldid=822306184
18,what happens in a mixture (write two sentences that state what happens in a mixture.),there is something that happens in a mixture,what_question,https://en.wikipedia.org//w/index.php?title=Mixture&amp;oldid=822306184
19,what kind of food do you eat on christmas,there is something that kind of food,what_question,https://en.wikipedia.org//w/index.php?title=Christmas_dinner&amp;oldid=821295361
20,what is the meaning of source for historians,meaning of source for historians exists,definite_article,https://en.wikipedia.org//w/index.php?title=Historian&amp;oldid=801314401
21,what is the meaning of source for historians,meaning of source for historians is contextually unique,definite_article,https://en.wikipedia.org//w/index.php?title=Historian&amp;oldid=801314401
22,what is the meaning of source for historians,there is something that is the meaning of source for historians,what_question,https://en.wikipedia.org//w/index.php?title=Historian&amp;oldid=801314401
23,when did the nfl teams join the league,nfl teams exists,definite_article,https://en.wikipedia.org//w/index.php?title=Timeline_of_the_National_Football_League&amp;oldid=833205314
24,when did the nfl teams join the league,nfl teams is contextually unique,definite_article,https://en.wikipedia.org//w/index.php?title=Timeline_of_the_National_Football_League&amp;oldid=833205314
25,when did the nfl teams join the league,league exists,definite_article,https://en.wikipedia.org//w/index.php?title=Timeline_of_the_National_Football_League&amp;oldid=833205314
26,when did the nfl teams join the league,league is contextually unique,definite_article,https://en.wikipedia.org//w/index.php?title=Timeline_of_the_National_Football_League&amp;oldid=833205314
27,when did the nfl teams join the league,there is some point in time that the nfl teams join the league,when_question,https://en.wikipedia.org//w/index.php?title=Timeline_of_the_National_Football_League&amp;oldid=833205314
28,who used to be on good morning america,there is someone that used to be on good morning america,who_question,https://en.wikipedia.org//w/index.php?title=Good_Morning_America&amp;oldid=819400124
29,which civilizations had advanced writing and technology in present day mexico,some civilizations had advanced writing and technology in present day mexico,which_question,https://en.wikipedia.org//w/index.php?title=Mesoamerican_writing_systems&amp;oldid=816694189
30,what did the us do after soviets launched sputnik,us exists,definite_article,https://en.wikipedia.org//w/index.php?title=Sputnik_crisis&amp;oldid=823213847
31,what did the us do after soviets launched sputnik,us is contextually unique,definite_article,https://en.wikipedia.org//w/index.php?title=Sputnik_crisis&amp;oldid=823213847
32,what did the us do after soviets launched sputnik,there is something that did the us do after soviets launched sputnik,what_question,https://en.wikipedia.org//w/index.php?title=Sputnik_crisis&amp;oldid=823213847
33,what country is south of the united states,united states exists,definite_article,https://en.wikipedia.org//w/index.php?title=Southern_United_States&amp;oldid=822349642
34,what country is south of the united states,united states is contextually unique,definite_article,https://en.wikipedia.org//w/index.php?title=Southern_United_States&amp;oldid=822349642
35,what is the significance of jumping over a broom at a wedding,significance of jumping over a broom at a wedding exists,definite_article,https://en.wikipedia.org//w/index.php?title=Jumping_the_broom&amp;oldid=834160907
36,what is the significance of jumping over a broom at a wedding,significance of jumping over a broom at a wedding is contextually unique,definite_article,https://en.wikipedia.org//w/index.php?title=Jumping_the_broom&amp;oldid=834160907
37,what is the significance of jumping over a broom at a wedding,there is something that is the significance of jumping over a broom at a wedding,what_question,https://en.wikipedia.org//w/index.php?title=Jumping_the_broom&amp;oldid=834160907
38,how did the economic role of women change during the civil war,economic role of women exists,definite_article,https://en.wikipedia.org//w/index.php?title=History_of_women_in_the_United_States&amp;oldid=822183230
39,how did the economic role of women change during the civil war,economic role of women is contextually unique,definite_article,https://en.wikipedia.org//w/index.php?title=History_of_women_in_the_United_States&amp;oldid=822183230
40,how did the economic role of women change during the civil war,civil war exists,definite_article,https://en.wikipedia.org//w/index.php?title=History_of_women_in_the_United_States&amp;oldid=822183230
41,how did the economic role of women change during the civil war,civil war is contextually unique,definite_article,https://en.wikipedia.org//w/index.php?title=History_of_women_in_the_United_States&amp;oldid=822183230
42,how did the economic role of women change during the civil war,the economic role of women change during the civil war,how_question,https://en.wikipedia.org//w/index.php?title=History_of_women_in_the_United_States&amp;oldid=822183230
43,how did the economic role of women change during the civil war,there is some way that the economic role of women change during the civil war,how_question,https://en.wikipedia.org//w/index.php?title=History_of_women_in_the_United_States&amp;oldid=822183230
44,where does how to make an american quilt take place,there is some place that how make an american quilt take place,where_question,https://en.wikipedia.org//w/index.php?title=How_to_Make_an_American_Quilt&amp;oldid=830164620
45,where does how to make an american quilt take place,where make an american quilt take place,how_question,https://en.wikipedia.org//w/index.php?title=How_to_Make_an_American_Quilt&amp;oldid=830164620
46,where does how to make an american quilt take place,there is some way that where make an american quilt take place,how_question,https://en.wikipedia.org//w/index.php?title=How_to_Make_an_American_Quilt&amp;oldid=830164620
47,where does the tv show bellvue take place,where does tv show bellvue take place exists,definite_article,https://en.wikipedia.org//w/index.php?title=Bellevue_(TV_series)&amp;oldid=831903853
48,where does the tv show bellvue take place,where does tv show bellvue take place is contextually unique,definite_article,https://en.wikipedia.org//w/index.php?title=Bellevue_(TV_series)&amp;oldid=831903853
49,where does the tv show bellvue take place,bellvue take place,factive_clause_embedding_predicate,https://en.wikipedia.org//w/index.php?title=Bellevue_(TV_series)&amp;oldid=831903853
50,where does the tv show bellvue take place,there is some place that the tv show bellvue take place,where_question,https://en.wikipedia.org//w/index.php?title=Bellevue_(TV_series)&amp;oldid=831903853
51,where is pineapple express supposed to take place,there is some place that take place,where_question,https://en.wikipedia.org//w/index.php?title=Pineapple_Express_(film)&amp;oldid=806751035
52,who said those who live in glass houses,there is someone that said those who live in glass houses,who_question,https://en.wikipedia.org//w/index.php?title=Those_who_live_in_glass_houses_should_not_throw_stones&amp;oldid=792760804
53,who said those who live in glass houses,there is someone that live in glass houses,who_question,https://en.wikipedia.org//w/index.php?title=Those_who_live_in_glass_houses_should_not_throw_stones&amp;oldid=792760804
54,how old is mr feeny from boy meets world,old,how_question,https://en.wikipedia.org//w/index.php?title=William_Daniels&amp;oldid=819352310
55,how old is mr feeny from boy meets world,there is some way that old,how_question,https://en.wikipedia.org//w/index.php?title=William_Daniels&amp;oldid=819352310
56,where do most of the worlds living things live,worlds living things exists,definite_article,https://en.wikipedia.org//w/index.php?title=Life&amp;oldid=807010151#Range_of_tolerance
57,where do most of the worlds living things live,worlds living things is contextually unique,definite_article,https://en.wikipedia.org//w/index.php?title=Life&amp;oldid=807010151#Range_of_tolerance
58,where do most of the worlds living things live,there is some place that most of the worlds living things live,where_question,https://en.wikipedia.org//w/index.php?title=Life&amp;oldid=807010151#Range_of_tolerance
59,where do you go to my lovely full version,there is some place that you go to my lovely full version,where_question,https://en.wikipedia.org//w/index.php?title=Where_Do_You_Go_To_(My_Lovely)%3F&amp;oldid=816929225
60,where do you you go to my lovely,there is some place that you you go to my lovely,where_question,https://en.wikipedia.org//w/index.php?title=Where_Do_You_Go_To_(My_Lovely)%3F&amp;oldid=816929225
61,where did the carbon dioxide come from in the interactive,carbon dioxide exists,definite_article,https://en.wikipedia.org//w/index.php?title=Carbon_dioxide&amp;oldid=838108215
62,where did the carbon dioxide come from in the interactive,carbon dioxide is contextually unique,definite_article,https://en.wikipedia.org//w/index.php?title=Carbon_dioxide&amp;oldid=838108215
63,where did the carbon dioxide come from in the interactive,interactive exists,definite_article,https://en.wikipedia.org//w/index.php?title=Carbon_dioxide&amp;oldid=838108215
64,where did the carbon dioxide come from in the interactive,interactive is contextually unique,definite_article,https://en.wikipedia.org//w/index.php?title=Carbon_dioxide&amp;oldid=838108215
65,where did the carbon dioxide come from in the interactive,there is some place that from in the interactive,where_question,https://en.wikipedia.org//w/index.php?title=Carbon_dioxide&amp;oldid=838108215
66,why did european countries give up their colonies in southeast asia,european countries give up their colonies in southeast asia,why_question,https://en.wikipedia.org//w/index.php?title=European_colonisation_of_Southeast_Asia&amp;oldid=834554703
67,why did european countries give up their colonies in southeast asia,there is some reason that european countries give up their colonies in southeast asia,why_question,https://en.wikipedia.org//w/index.php?title=European_colonisation_of_Southeast_Asia&amp;oldid=834554703
68,who works in a museum or wildlife in a zoo aquarium and nature center,there is someone that works in a museum or wildlife in a zoo aquarium and nature center,who_question,https://en.wikipedia.org//w/index.php?title=Nature_center&amp;oldid=801135599
69,when does stefan turn his humanity back on in season 8,there is some point in time that stefan turn his humanity back on in season 8,when_question,https://en.wikipedia.org//w/index.php?title=Stefan_Salvatore&amp;oldid=837465791
70,when will the curse be broken in once upon a time season 7,not broken before,change_of_state,https://en.wikipedia.org//w/index.php?title=Once_Upon_a_Time_(season_7)&amp;oldid=838402441
71,when will the curse be broken in once upon a time season 7,curse exists,definite_article,https://en.wikipedia.org//w/index.php?title=Once_Upon_a_Time_(season_7)&amp;oldid=838402441
72,when will the curse be broken in once upon a time season 7,curse is contextually unique,definite_article,https://en.wikipedia.org//w/index.php?title=Once_Upon_a_Time_(season_7)&amp;oldid=838402441
73,when will the curse be broken in once upon a time season 7,there is some point in time that the curse be broken in once upon a time season 7,when_question,https://en.wikipedia.org//w/index.php?title=Once_Upon_a_Time_(season_7)&amp;oldid=838402441
74,who were the first disciples to be called,first disciples to be called exists,definite_article,https://en.wikipedia.org/w/index.php?title=Calling_of_the_disciples&amp%3Boldid=789943914
75,who were the first disciples to be called,first disciples to be called is contextually unique,definite_article,https://en.wikipedia.org/w/index.php?title=Calling_of_the_disciples&amp%3Boldid=789943914
76,who were the first disciples to be called,there is someone that were the first disciples to be called,who_question,https://en.wikipedia.org/w/index.php?title=Calling_of_the_disciples&amp%3Boldid=789943914
77,when was the first cell phone call made,first cell phone call made exists,definite_article,https://en.wikipedia.org//w/index.php?title=History_of_mobile_phones&amp;oldid=837953089
78,when was the first cell phone call made,first cell phone call made is contextually unique,definite_article,https://en.wikipedia.org//w/index.php?title=History_of_mobile_phones&amp;oldid=837953089
79,when was the first cell phone call made,there is some point in time that was the first cell phone call made,when_question,https://en.wikipedia.org//w/index.php?title=History_of_mobile_phones&amp;oldid=837953089
80,when is made in chelsea available on 4od,there is some point in time that is made in chelsea available on 4od,when_question,https://en.wikipedia.org//w/index.php?title=Made_in_Chelsea&amp;oldid=837506591
81,who swore in the new deputy prime minister of australia,new deputy prime minister of australia exists,definite_article,https://en.wikipedia.org//w/index.php?title=Deputy_Prime_Minister_of_Australia&amp;oldid=837453035
82,who swore in the new deputy prime minister of australia,new deputy prime minister of australia is contextually unique,definite_article,https://en.wikipedia.org//w/index.php?title=Deputy_Prime_Minister_of_Australia&amp;oldid=837453035
83,who swore in the new deputy prime minister of australia,there is someone that swore in the new deputy prime minister of australia,who_question,https://en.wikipedia.org//w/index.php?title=Deputy_Prime_Minister_of_Australia&amp;oldid=837453035
84,which city had the highest number of english and hindi newspapers in 2012 and 2013,highest number of english and hindi newspapers in 2012 and 2013 exists,definite_article,https://en.wikipedia.org//w/index.php?title=Newspaper_circulation&amp;oldid=815066497
85,which city had the highest number of english and hindi newspapers in 2012 and 2013,highest number of english and hindi newspapers in 2012 and 2013 is contextually unique,definite_article,https://en.wikipedia.org//w/index.php?title=Newspaper_circulation&amp;oldid=815066497
86,which city had the highest number of english and hindi newspapers in 2012 and 2013,some city had the highest number of english and hindi newspapers in 2012 and 2013,which_question,https://en.wikipedia.org//w/index.php?title=Newspaper_circulation&amp;oldid=815066497
