nq_id	question	unverifiable_presupposition	trigger_type	annotator1_label	annotator1_comment	annotator2_label	annotator2_comment	document
-342535777972806777	where did the expression with a grain of salt come from	N/A	N/A	answerable		answerable		https://en.wikipedia.org//w/index.php?title=Grain_of_salt&amp;oldid=834308797
-4115009829343078438	who are the characters in the black cat	N/A	N/A	answerable	The document does give a list; perhaps this was too all over the place for the annotators to highlight?	answerable		https://en.wikipedia.org//w/index.php?title=List_of_Black_Cat_characters&amp;oldid=828680951
-4433540850405509050	why must one value in every table be unique	N/A	N/A	answerable	I think this is actually answerable, although the question is kind of confusingly phrased. I think what they mean is "there must be a field in every table that takes on a unique value for every entry", which is the definition of a unique key. But I might be giving it a too charitable interpretation and maybe it is a valid case of presup failure.	presup failure	not verifiable that "one value in every table must be unique" (?)	https://en.wikipedia.org//w/index.php?title=Unique_key&amp;oldid=818710683
-4104436192174725529	what does the greek word onta mean in english	N/A	N/A	answerable	This is a weird one, because I think it is technically answerable but requires multihop reasoning + translation alignment. You need to infer that some phrase that contains 'onta' is Greek from Aristotle, and need to infer the meaning of 'onta' by aligning the greek phrase with english	retrieval failure		https://en.wikipedia.org//w/index.php?title=Potentiality_and_actuality&amp;oldid=819114103
-5497473746897615251	when do other cultures celebrate the new year	N/A	N/A	answerable	This seems answerable but the answer is probably the whole document	answerable		https://en.wikipedia.org//w/index.php?title=New_Year&amp;oldid=820237322
-6298519576543964589	what happens in a mixture (write two sentences that state what happens in a mixture.)	N/A	N/A	answerable		answerable	homework quesiton :)	https://en.wikipedia.org//w/index.php?title=Mixture&amp;oldid=822306184
-63616575039941553	what kind of food do you eat on christmas	N/A	N/A	answerable	there's lots of options to choose from; maybe it's the large number of options that made this Q hard to answer	answerable		https://en.wikipedia.org//w/index.php?title=Christmas_dinner&amp;oldid=821295361
-6545799929305659919	what is the meaning of source for historians	N/A	N/A	answerable	"Sources had to be hard, not speculations and rationalizations [...]"?	vague/bad question		https://en.wikipedia.org//w/index.php?title=Historian&amp;oldid=801314401
1270431259663483162	when did the nfl teams join the league	N/A	N/A	answerable	Answerable, but the timeline graphic is probably the best answer not text	answerable	i think they are talking about the merger?	https://en.wikipedia.org//w/index.php?title=Timeline_of_the_National_Football_League&amp;oldid=833205314
1355516680994212835	who used to be on good morning america	N/A	N/A	answerable	There is a pretty extensive list of people on this page.	anwerable		https://en.wikipedia.org//w/index.php?title=Good_Morning_America&amp;oldid=819400124
2218470716730271012	which civilizations had advanced writing and technology in present day mexico	N/A	N/A	answerable	Unclear what "present day mexico" exactly means, but if we define this vaguely by geography there do seem to be viable answers?	answerable		https://en.wikipedia.org//w/index.php?title=Mesoamerican_writing_systems&amp;oldid=816694189
3570014122615753483	what did the us do after soviets launched sputnik	N/A	N/A	answerable	"[...] spurred the US to make considerable federal investments in research and development, education, and national security"	vague/bad question		https://en.wikipedia.org//w/index.php?title=Sputnik_crisis&amp;oldid=823213847
4158131744923925337	what country is south of the united states	N/A	N/A	answerable	"[...] Northeastern United States to its north and the Gulf of Mexico and Mexico to its south"	retrieval failure		https://en.wikipedia.org//w/index.php?title=Southern_United_States&amp;oldid=822349642
4250407452698305051	what is the significance of jumping over a broom at a wedding	N/A	N/A	answerable		anwerable		https://en.wikipedia.org//w/index.php?title=Jumping_the_broom&amp;oldid=834160907
8570484778061561469	how did the economic role of women change during the civil war	N/A	N/A	answerable		answerable		https://en.wikipedia.org//w/index.php?title=History_of_women_in_the_United_States&amp;oldid=822183230
-8177125096549680819	what type of volcano is one tree hill	one tree hill is some type of volcano	question word	common sense		answerable		https://en.wikipedia.org//w/index.php?title=One_Tree_Hill_(New_Zealand)&amp;oldid=828648140
-8890318052517187874	where does how to make an american quilt take place	there is some place that how to make an american quilt takes place	question word	common sense	no mention of place or setting	common sense		https://en.wikipedia.org//w/index.php?title=How_to_Make_an_American_Quilt&amp;oldid=830164620
6781908585076979629	where does the tv show bellvue take place	there is some place that the tv show bellvue takes place	question word	common sense	I think it can be inferred that the show takes place in Bellvue but this isn't explicitly stated	common sense		https://en.wikipedia.org//w/index.php?title=Bellevue_(TV_series)&amp;oldid=831903853
8850882011232184507	where is pineapple express supposed to take place	there is some place that pineapple express is supposed to take place	question word	common sense		common sense		https://en.wikipedia.org//w/index.php?title=Pineapple_Express_(film)&amp;oldid=806751035
3884880904200957137	who said those who live in glass houses	there is someone that said those who live in glass houses	question word	failure but commonsensical	Maybe it's clear that somebody must have said it. Or "several European countries" is a possible answer?	answerable	page says "proverb", so maybe answer is "no answer" or "unknown"	https://en.wikipedia.org//w/index.php?title=Those_who_live_in_glass_houses_should_not_throw_stones&amp;oldid=792760804
6109693806514395396	how old is mr feeny from boy meets world	there is some age that mr feeny from boy meets world is at	question word	failure but commonsensical	No info to verify this, but that a Mr X has some age is commonsensical	retrieval failure	or maybe unanswerable cause quesiton is ambiguous b/w character and actor?	https://en.wikipedia.org//w/index.php?title=William_Daniels&amp;oldid=819352310
697453185189128068	where do most of the worlds living things live	there is some place that most of the worlds living things live	question word	failure but commonsensical	most' is ambiguous?	vague/bad question		https://en.wikipedia.org//w/index.php?title=Life&amp;oldid=807010151#Range_of_tolerance
-1373462810446045322	where do you go to my lovely full version	N/A	N/A	not a question		not a question	song lyrics?	https://en.wikipedia.org//w/index.php?title=Where_Do_You_Go_To_(My_Lovely)%3F&amp;oldid=816929225
-584803344169734411	where do you you go to my lovely	N/A	N/A	not a question		not a question		https://en.wikipedia.org//w/index.php?title=Where_Do_You_Go_To_(My_Lovely)%3F&amp;oldid=816929225
4870970171715028304	where did the carbon dioxide come from in the interactive	N/A	N/A	not a question		not a question		https://en.wikipedia.org//w/index.php?title=Carbon_dioxide&amp;oldid=838108215
-8531768885896986840	why did european countries give up their colonies in southeast asia	(there is some reason that) european countries gave up their colonies in southeast asia	question word	presup failure	The two presuppositions of the question word, "there is some reason that european countries..." and "european countries gave up...", both fail just based on the linked document. Both of these are probably historically true, although the latter one (that they "gave up") can be left up to interpretation depending on whether you view "giving up" as a specific manner of decolonization or just the act of decolonization itself.	?	years at bottom of page make it clear colonization ended, so not a clean example	https://en.wikipedia.org//w/index.php?title=European_colonisation_of_Southeast_Asia&amp;oldid=834554703
3968018373035451491	who works in a museum or wildlife in a zoo aquarium and nature center	there is someone that works in a museum or wildlife in a zoo aquarium and nature center	question word	presup failure	This is a bizarre characterization of a person	?	confusing question, but it might be a common sense issue again...	https://en.wikipedia.org//w/index.php?title=Nature_center&amp;oldid=801135599
6448373040958509889	when does stefan turn his humanity back on in season 8	there is some point in time that stefan turns his humanity back on in season 8	question word	presup failure	there is no description of season 8 in this page, so this presuppostion can't be verified.	?	synopsis under Storyline > Season 1-3 makes it clear that this happens, just doesn't say when	https://en.wikipedia.org//w/index.php?title=Stefan_Salvatore&amp;oldid=837465791
97415762244635819	when will the curse be broken in once upon a time season 7	curse' is contextually unique	definite NP uniqueness	presup failure	There seem to be many curses	?	it seems there is one "Curse" (capitalized) that is the main one...	https://en.wikipedia.org//w/index.php?title=Once_Upon_a_Time_(season_7)&amp;oldid=838402441
-2133274516116131662	who were the first disciples to be called	first disciples to be called' is contextually unique	definite NP uniqueness	presup failure	Who counts as the first disciples seem to be unclear just by this document. Andrew/Peter? Just Andrew? Andrew/Peter/unnamed person?	answerable?	seems answerable (peter and andrew according to all accounts?) but the calling is maybe ambiguous...	https://en.wikipedia.org/w/index.php?title=Calling_of_the_disciples&amp%3Boldid=789943914
-2923342447998506374	when was the first cell phone call made	first cell phone call' is contextually unique	definite NP uniqueness	presup failure	Multiple things can be construed as first cell phones?	answerable?	I feel like this is the answer they want " On April 3, 1973, Martin Cooper, a Motorola researcher and executive, made the first mobile telephone call from handheld subscriber equipment"	https://en.wikipedia.org//w/index.php?title=History_of_mobile_phones&amp;oldid=837953089
